actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06908771395683289,-0.005462102126330137
-0.0718885213136673,-0.011378890834748745
-0.07375572621822357,-0.017008798196911812
-0.07562292367219925,-0.02374853938817978
-0.08231135457754135,-0.032153837382793427
-0.08627808094024658,-0.04042661190032959
-0.0882614403963089,-0.04815775528550148
-0.09123647958040237,-0.05683409050107002
-0.09520316869020462,-0.06678856164216995
-0.09851530194282532,-0.07687385380268097
-0.10249559581279755,-0.08818244189023972
-0.10747094452381134,-0.10130704939365387
-0.11344131827354431,-0.10747094452381134
-0.11841660737991333,-0.11841660737991333
-0.12584461271762848,-0.12584461271762848
-0.13289155066013336,-0.13289155066013336
-0.13993841409683228,-0.13993841409683228
-0.14597854018211365,-0.14597854018211365
-0.15403196215629578,-0.15403196215629578
-0.16309194266796112,-0.16309194266796112
-0.15489612519741058,-0.15489612519741058
-0.16214215755462646,-0.16214215755462646
-0.16938813030719757,-0.16938813030719757
-0.17663399875164032,-0.17663399875164032
-0.1838797926902771,-0.1838797926902771
-0.19743956625461578,-0.19743956625461578
-0.20496012270450592,-0.20496012270450592
-0.2124805897474289,-0.2124805897474289
-0.21812087297439575,-0.21812087297439575
-0.22470109164714813,-0.22470109164714813
-0.22390331327915192,-0.22390331327915192
-0.22936350107192993,-0.22936350107192993
-0.23573365807533264,-0.23573365807533264
-0.24119369685649872,-0.24119369685649872
-0.24574369192123413,-0.24574369192123413
-0.26237788796424866,-0.26237788796424866
-0.2671300768852234,-0.2671300768852234
-0.27093181014060974,-0.27093181014060974
-0.2756839096546173,-0.2756839096546173
-0.2794855535030365,-0.2794855535030365
-0.2832871675491333,-0.2794855535030365
-0.311274915933609,-0.311274915933609
-0.3153965175151825,-0.3153965175151825
-0.3184877038002014,-0.3184877038002014
-0.3195180892944336,-0.3195180892944336
-0.3195180892944336,-0.3195180892944336
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.26082804799079895
-0.24041633307933807,-0.24041633307933807
-0.24041633307933807,-0.24041633307933807
-0.2396358996629715,-0.2396358996629715
-0.23807501792907715,-0.23807501792907715
-0.23729458451271057,-0.23729458451271057
-0.30644071102142334,-0.30644071102142334
-0.3033873438835144,-0.3033873438835144
-0.1999959945678711,-0.1999959945678711
-0.19796237349510193,-0.19796237349510193
-0.19525088369846344,-0.19525088369846344
-0.19321726262569427,-0.19321726262569427
-0.18482241034507751,-0.18482241034507751
-0.18221034109592438,-0.18221034109592438
-0.18025128543376923,-0.18025128543376923
-0.17829221487045288,-0.17829221487045288
-0.17502710223197937,-0.17502710223197937
-0.14439891278743744,-0.17502710223197937
-0.14330504834651947,-0.14330504834651947
-0.14057038724422455,-0.14057038724422455
-0.13947650790214539,-0.13947650790214539
-0.13783571124076843,-0.13783571124076843
-0.1481766253709793,-0.1481766253709793
-0.14698652923107147,-0.14698652923107147
-0.14639148116111755,-0.14639148116111755
-0.14579643309116364,-0.14579643309116364
-0.1446063369512558,-0.1446063369512558
-0.13512052595615387,-0.13512052595615387
-0.13456450402736664,-0.13456450402736664
-0.13456450402736664,-0.13456450402736664
-0.13512052595615387,-0.13512052595615387
-0.1356765478849411,-0.1356765478849411
-0.1373445987701416,-0.1373445987701416
-0.1592152863740921,-0.1592152863740921
-0.16178306937217712,-0.16178306937217712
-0.16370889544487,-0.16370889544487
-0.16627667844295502,-0.16627667844295502
-0.1694863736629486,-0.1694863736629486
-0.17415045201778412,-0.17415045201778412
-0.17738714814186096,-0.17738714814186096
-0.18127115070819855,-0.18127115070819855
-0.18580244481563568,-0.18580244481563568
-0.19033372402191162,-0.19033372402191162
-0.22304661571979523,-0.22304661571979523
-0.23199686408042908,-0.23199686408042908
-0.2387094646692276,-0.2387094646692276
-0.24616777896881104,-0.24616777896881104
-0.25288015604019165,-0.25288015604019165
-0.2375815212726593,-0.2375815212726593
-0.2465582638978958,-0.2465582638978958
-0.25208231806755066,-0.25208231806755066
-0.25829681754112244,-0.25829681754112244
-0.26451119780540466,-0.26451119780540466
-0.26796358823776245,-0.26796358823776245
-0.2915705740451813,-0.2915705740451813
-0.29811280965805054,-0.29811280965805054
-0.30392804741859436,-0.30392804741859436
-0.30974313616752625,-0.30974313616752625
-0.31483128666877747,-0.31483128666877747
-0.30518847703933716,-0.30518847703933716
-0.3100423514842987,-0.3100423514842987
-0.31212255358695984,-0.31212255358695984
-0.31281596422195435,-0.31281596422195435
-0.3148961365222931,-0.3148961365222931
-0.3242836594581604,-0.3242836594581604
-0.3249899446964264,-0.3249899446964264
-0.3256962299346924,-0.3256962299346924
-0.3278150260448456,-0.3278150260448456
-0.3292275369167328,-0.3292275369167328
-0.3755992650985718,-0.3292275369167328
-0.37639978528022766,-0.37639978528022766
-0.3755992650985718,-0.3755992650985718
-0.3747987449169159,-0.3755992650985718
-0.27781012654304504,-0.27781012654304504
-0.2512248754501343,-0.2512248754501343
-0.2501375377178192,-0.2501375377178192
-0.24905018508434296,-0.2501375377178192
-0.2479628175497055,-0.2479628175497055
-0.24687547981739044,-0.24687547981739044
-0.2457880973815918,-0.2457880973815918
-0.22436940670013428,-0.22436940670013428
-0.22287051379680634,-0.22287051379680634
-0.2213716059923172,-0.2213716059923172
-0.21987269818782806,-0.21987269818782806
-0.21837379038333893,-0.21837379038333893
-0.24369306862354279,-0.24369306862354279
-0.24313294887542725,-0.24313294887542725
-0.24201272428035736,-0.24201272428035736
-0.24089248478412628,-0.24089248478412628
-0.2397722601890564,-0.2397722601890564
-0.2217925488948822,-0.2217925488948822
-0.22075141966342926,-0.22075141966342926
-0.2197103053331375,-0.2197103053331375
-0.21918973326683044,-0.21918973326683044
-0.21918973326683044,-0.21918973326683044
-0.19730335474014282,-0.19730335474014282
-0.19730335474014282,-0.19730335474014282
-0.19730335474014282,-0.19730335474014282
-0.1963639259338379,-0.19730335474014282
-0.19589421153068542,-0.1963639259338379
-0.1949547827243805,-0.1949547827243805
-0.22265653312206268,-0.22265653312206268
-0.22372683882713318,-0.22372683882713318
-0.22533227503299713,-0.22372683882713318
-0.22640256583690643,-0.22640256583690643
-0.22693772614002228,-0.22693772614002228
-0.2030028998851776,-0.2030028998851776
-0.20347937941551208,-0.20347937941551208
-0.20395585894584656,-0.20395585894584656
-0.20395585894584656,-0.20395585894584656
-0.20490878820419312,-0.20490878820419312
-0.21461404860019684,-0.20490878820419312
-0.21511192619800568,-0.21511192619800568
-0.21560978889465332,-0.21560978889465332
-0.216605544090271,-0.21560978889465332
-0.21710340678691864,-0.21710340678691864
-0.21809916198253632,-0.21809916198253632
-0.20324808359146118,-0.20324808359146118
-0.1600855439901352,-0.1600855439901352
-0.16044935584068298,-0.16044935584068298
-0.16081315279006958,-0.16081315279006958
-0.16117694973945618,-0.16081315279006958
-0.17954115569591522,-0.17954115569591522
-0.1799464076757431,-0.1799464076757431
-0.18035165965557098,-0.18035165965557098
-0.18075689673423767,-0.18075689673423767
-0.18116213381290436,-0.18075689673423767
-0.14241351187229156,-0.14241351187229156
-0.14273136854171753,-0.14273136854171753
-0.14336711168289185,-0.14336711168289185
-0.14432071149349213,-0.14432071149349213
-0.1452743113040924,-0.1452743113040924
-0.15014398097991943,-0.15014398097991943
-0.15144950151443481,-0.15144950151443481
-0.1527549922466278,-0.1527549922466278
-0.154060497879982,-0.154060497879982
-0.15536600351333618,-0.15536600351333618
-0.15699787437915802,-0.15699787437915802
-0.14560621976852417,-0.14560621976852417
-0.14740370213985443,-0.14560621976852417
-0.14890159666538239,-0.14740370213985443
-0.15099866688251495,-0.14890159666538239
-0.15309572219848633,-0.15309572219848633
-0.15650251507759094,-0.15650251507759094
-0.1586131751537323,-0.1586131751537323
-0.16102536022663116,-0.16102536022663116
-0.16343751549720764,-0.16102536022663116
-0.16615121066570282,-0.16615121066570282
-0.21907706558704376,-0.21907706558704376
-0.2222062647342682,-0.2222062647342682
-0.2249443084001541,-0.2249443084001541
-0.22846461832523346,-0.22846461832523346
-0.2319849133491516,-0.2319849133491516
-0.27835947275161743,-0.2319849133491516
-0.28113776445388794,-0.27835947275161743
-0.28391605615615845,-0.28391605615615845
-0.2871573567390442,-0.2871573567390442
-0.29039862751960754,-0.29039862751960754
-0.3055165112018585,-0.29039862751960754
-0.3088887631893158,-0.3088887631893158
-0.3112974762916565,-0.3112974762916565
-0.3141879141330719,-0.3141879141330719
-0.3165965974330902,-0.3165965974330902
-0.2627622187137604,-0.2627622187137604
-0.24125847220420837,-0.24125847220420837
-0.2419806867837906,-0.2419806867837906
-0.2419806867837906,-0.2419806867837906
-0.2423417717218399,-0.2423417717218399
-0.2427028864622116,-0.2427028864622116
-0.24635188281536102,-0.24635188281536102
-0.2467184215784073,-0.2467184215784073
-0.24745146930217743,-0.24745146930217743
-0.2478179931640625,-0.2478179931640625
-0.24818451702594757,-0.24818451702594757
-0.2950763702392578,-0.2950763702392578
-0.2946406304836273,-0.2946406304836273
-0.29376915097236633,-0.29376915097236633
-0.29333341121673584,-0.29333341121673584
-0.29333341121673584,-0.29333341121673584
-0.33092692494392395,-0.33092692494392395
-0.33092692494392395,-0.33092692494392395
-0.33092692494392395,-0.33092692494392395
-0.3314177393913269,-0.3314177393913269
-0.3314177393913269,-0.3314177393913269
-0.33190858364105225,-0.33190858364105225
-0.37093740701675415,-0.37093740701675415
-0.3720311224460602,-0.3720311224460602
-0.373124897480011,-0.373124897480011
-0.373124897480011,-0.373124897480011
-0.3736717700958252,-0.3736717700958252
-0.38925623893737793,-0.38925623893737793
-0.3903938829898834,-0.3903938829898834
-0.39210036396980286,-0.39210036396980286
-0.34205591678619385,-0.34205591678619385
-0.34304556250572205,-0.34304556250572205
-0.37187525629997253,-0.37187525629997253
-0.37187525629997253,-0.37187525629997253
-0.3724116384983063,-0.3724116384983063
-0.3724116384983063,-0.3724116384983063
-0.3729480504989624,-0.3729480504989624
-0.3729480504989624,-0.3729480504989624
-0.3574502468109131,-0.3574502468109131
-0.3579636216163635,-0.3579636216163635
-0.3579636216163635,-0.3579636216163635
-0.3589903712272644,-0.3589903712272644
-0.3600171208381653,-0.3600171208381653
-0.3705211281776428,-0.3705211281776428
-0.3715732991695404,-0.3715732991695404
-0.3726254999637604,-0.3726254999637604
-0.37420374155044556,-0.37420374155044556
-0.37578198313713074,-0.37578198313713074
-0.43392235040664673,-0.43392235040664673
-0.4363417327404022,-0.4363417327404022
-0.43876105546951294,-0.43876105546951294
-0.44118040800094604,-0.44118040800094604
-0.4429948329925537,-0.4429948329925537
-0.4715675711631775,-0.4715675711631775
-0.47349098324775696,-0.47349098324775696
-0.42240166664123535,-0.42240166664123535
-0.4246774911880493,-0.4246774911880493
-0.4263843595981598,-0.4263843595981598
-0.4705367386341095,-0.4705367386341095
-0.473034530878067,-0.473034530878067
-0.4761567711830139,-0.4761567711830139
-0.4786545932292938,-0.4786545932292938
-0.48115232586860657,-0.48115232586860657
-0.4836500585079193,-0.4836500585079193
-0.5393638610839844,-0.5393638610839844
-0.5435143709182739,-0.5435143709182739
-0.5462813377380371,-0.5462813377380371
-0.5497400164604187,-0.5497400164604187
-0.5538904070854187,-0.5538904070854187
-0.5959321856498718,-0.5959321856498718
-0.5996295809745789,-0.5996295809745789
-0.6025874018669128,-0.6025874018669128
-0.6062847375869751,-0.6062847375869751
-0.6092424988746643,-0.6092424988746643
-0.6583497524261475,-0.6583497524261475
-0.6615298390388489,-0.6583497524261475
-0.6655048131942749,-0.6655048131942749
-0.6694796681404114,-0.6694796681404114
-0.6726595163345337,-0.6726595163345337
-0.7731040120124817,-0.7731040120124817
-0.7712302803993225,-0.7712302803993225
-0.7748317718505859,-0.7748317718505859
-0.7793336510658264,-0.7793336510658264
-0.7829349040985107,-0.7829349040985107
-0.8587606549263,-0.7829349040985107
-0.8636736869812012,-0.8636736869812012
-0.8676038980484009,-0.8676038980484009
-0.8705514073371887,-0.8705514073371887
-0.8744814991950989,-0.8705514073371887
-0.8784113526344299,-0.8784113526344299
-0.9930347204208374,-0.8784113526344299
-0.9974545240402222,-0.9974545240402222
-0.9996643662452698,-0.9996643662452698
-1.002979040145874,-1.002979040145874
-1.0051887035369873,-1.0051887035369873
-1.0633149147033691,-1.0633149147033691
-1.0633149147033691,-1.0633149147033691
-1.0644819736480713,-1.0633149147033691
-1.0691498517990112,-1.0644819736480713
-1.0714837312698364,-1.0714837312698364
-1.3484917879104614,-1.0714837312698364
-1.3470228910446167,-1.3470228910446167
-1.3499605655670166,-1.3499605655670166
-1.3528982400894165,-1.3528982400894165
-1.3573042154312134,-1.3573042154312134
-1.5573174953460693,-1.5573174953460693
-1.5589995384216309,-1.5589995384216309
-1.562363624572754,-1.5589995384216309
-1.562363624572754,-1.562363624572754
-1.562363624572754,-1.562363624572754
-1.5640455484390259,-1.5640455484390259
-1.7891957759857178,-1.7891957759857178
-1.791113257408142,-1.7891957759857178
-1.7930307388305664,-1.791113257408142
-1.7987827062606812,-1.7987827062606812
-1.8006999492645264,-1.8006999492645264
-2.0170812606811523,-2.0170812606811523
-2.0213654041290283,-2.0213654041290283
-2.0235073566436768,-2.0235073566436768
-2.0235073566436768,-2.0235073566436768
-2.0235073566436768,-2.0235073566436768
-2.4711484909057617,-2.4711484909057617
-2.473745346069336,-2.473745346069336
-2.473745346069336,-2.473745346069336
-2.476341962814331,-2.473745346069336
-2.473745346069336,-2.476341962814331
-2.473745346069336,-2.473745346069336
-2.884892463684082,-2.884892463684082
-2.884892463684082,-2.884892463684082
-2.890901565551758,-2.890901565551758
-2.8939056396484375,-2.8939056396484375
-2.8999130725860596,-2.8999130725860596
-3.1076269149780273,-3.1076269149780273
-3.110826253890991,-3.1076269149780273
-3.114025354385376,-3.114025354385376
-3.1076269149780273,-3.1076269149780273
-3.1076269149780273,-3.1076269149780273
-3.464747428894043,-3.464747428894043
-3.461209535598755,-3.464747428894043
-3.461209535598755,-3.461209535598755
-3.461209535598755,-3.461209535598755
-3.4576711654663086,-3.4576711654663086
-3.6787192821502686,-3.6787192821502686
-3.6824653148651123,-3.6824653148651123
-3.6824653148651123,-3.6824653148651123
-3.6824653148651123,-3.6824653148651123
-3.6824653148651123,-3.6824653148651123
-3.880425453186035,-3.880425453186035
-3.8725829124450684,-3.8725829124450684
-3.8647384643554688,-3.8725829124450684
-3.8686609268188477,-3.8686609268188477
-3.8686609268188477,-3.8686609268188477
-4.008702278137207,-4.008702278137207
-4.00465202331543,-4.00465202331543
-4.000600337982178,-4.00465202331543
-3.996548652648926,-3.996548652648926
-3.996548652648926,-3.996548652648926
-4.058136940002441,-4.058136940002441
-4.058136940002441,-4.058136940002441
-4.054023742675781,-4.054023742675781
-4.049910068511963,-4.049910068511963
-4.049910068511963,-4.049910068511963
-4.1889519691467285,-4.1889519691467285
-4.1931915283203125,-4.1931915283203125
-4.1931915283203125,-4.1931915283203125
-4.1931915283203125,-4.1931915283203125
-4.1889519691467285,-4.1889519691467285
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.463987827301025,-4.463987827301025
-4.459506988525391,-4.459506988525391
-4.459506988525391,-4.459506988525391
-4.459506988525391,-4.459506988525391
-4.455025672912598,-4.455025672912598
-4.815515041351318,-4.815515041351318
-4.820308685302734,-4.820308685302734
-4.815515041351318,-4.815515041351318
-4.810719966888428,-4.810719966888428
-4.805923938751221,-4.805923938751221
-5.2202839851379395,-5.2202839851379395
-5.20997428894043,-5.2202839851379395
-5.204817771911621,-5.204817771911621
-5.204817771911621,-5.204817771911621
-5.19965934753418,-5.19965934753418
-5.446568489074707,-5.19965934753418
-5.441202640533447,-5.441202640533447
-5.441202640533447,-5.441202640533447
-5.451932907104492,-5.451932907104492
-5.441202640533447,-5.441202640533447
-5.690828323364258,-5.441202640533447
-5.685257911682129,-5.685257911682129
-5.690828323364258,-5.690828323364258
-5.679686069488525,-5.679686069488525
-5.679686069488525,-5.679686069488525
-5.9930572509765625,-5.679686069488525
-5.987244129180908,-5.987244129180908
-5.981428623199463,-5.981428623199463
-5.987244129180908,-5.987244129180908
-5.987244129180908,-5.987244129180908
-6.31361722946167,-5.987244129180908
-6.301506042480469,-6.31361722946167
-6.301506042480469,-6.301506042480469
-6.28938627243042,-6.28938627243042
-6.283323287963867,-6.283323287963867
-6.610625743865967,-6.610625743865967
-6.604323387145996,-6.604323387145996
-6.604323387145996,-6.604323387145996
-6.604323387145996,-6.604323387145996
-6.598017692565918,-6.598017692565918
-6.591710090637207,-6.591710090637207
-6.822286128997803,-6.822286128997803
-6.81581974029541,-6.81581974029541
-6.8028788566589355,-6.8028788566589355
-6.796403884887695,-6.796403884887695
-6.796403884887695,-6.796403884887695
-7.195815563201904,-7.195815563201904
-7.20253324508667,-7.20253324508667
-7.195815563201904,-7.195815563201904
-7.195815563201904,-7.195815563201904
-7.195815563201904,-7.195815563201904
-7.369630813598633,-7.369630813598633
-7.376453876495361,-7.376453876495361
-7.376453876495361,-7.376453876495361
-7.369630813598633,-7.369630813598633
-7.362804889678955,-7.362804889678955
-7.464915752410889,-7.464915752410889
-7.451131343841553,-7.451131343841553
-7.437332630157471,-7.437332630157471
-7.437332630157471,-7.437332630157471
-7.4442338943481445,-7.4442338943481445
-7.451131343841553,-7.451131343841553
-7.60559606552124,-7.60559606552124
